"en","tr"
"Void Weaponry Optimization","Hiçlik Silahları Optimizasyonu"
"Void-compressed power cell. While held: +40% ship energy capacity. Permanent passive — one is enough.","Hiçlikle sıkıştırılmış güç hücresi. Elde tutulduğunda: +%40 gemi enerji kapasitesi. Kalıcı pasif — bir tane yeterli."
"Warden's Containment","Muhafızın Muhafazası"
"Warden's Lockdown","Muhafızın Karantinası"
"Warden's Quarantine","Muhafızın İzolasyonu"
"Warden's Scalpel","Muhafızın Neşteri"
"Warmaster's Aegis","Savaş Ustasının Kalkanı"
"Warmaster's Arsenal","Savaş Ustasının Cephaneliği"
"Warmaster's Bulkhead","Savaş Ustasının Bölmesi"
"Warmaster's Railgun","Savaş Ustasının Elektromanyetik Topu"
"Warp Drive Theory","Warp Motoru Teorisi"
"Warp Revenant","Warp Heyulası"
"Wash Dirt with Water to extract Iron more efficiently.","Demiri daha verimli bir şekilde çıkarmak için Toprağı Su ile yıka."
"Water","Su"
"Water Electrolysis","Su Elektrolizi"
"Weapon Tuning","Silah Ayarı"
"Weapon augment for biological warfare.","Biyolojik savaş için silah eklentisi."
"Weave fiber for hull reinforcement. Restores 25% Hull Integrity.","Gövde takviyesi için lif ör. Gövde Bütünlüğünün %25'ini yeniler."
"Wood","Odun"
"Wreckforged Alloy","Enkaz Dövmesi Alaşım"
"Xeno-Archaeology","Xeno-Arkeoloji"
"Xeno-Engineering","Xeno-Mühendisliği"
"Xenoforged Alloy","Ksenodövme Alaşım"
"Xenon Barrier","Ksenon Bariyeri"
"Xenon Corvette","Ksenon Korveti"
"Xenon Harbinger","Ksenon Müjdecisi"
"Xenon Scout","Ksenon İzcisi"
"Xenon technology data cores. Essential for capital ship engineering.","Ksenon teknolojisi veri çekirdekleri. Ana gemi mühendisliği için elzemdir."
"Yield Calibration","Verim Kalibrasyonu"
"Zero-Point Beam","Sıfır-Noktası Işını"
"Zero-Point Cell Synthesizer","Sıfır-Noktası Hücre Sentezleyici"
"Zero-Point Injector","Sıfır-Noktası Enjektörü"
"Zero-Point Module","Sıfır-Noktası Modülü"
"Zeta Purifier Trophy","Zeta Arındırıcısı Ganimeti"
"Zinc","Çinko"
"Zinc Mine","Çinko Madeni"
"Zinc Ore","Çinko Cevheri"
"Zinc Reduction","Çinko İndirgemesi"
"Zinc Smelter","Çinko İzabe Fırını"
"Zinc ore extraction.","Çinko cevheri çıkarımı."
"Zinc-coated steel. Corrosion resistant.","Çinko kaplı çelik. Korozyona dayanıklı."
"%d","%d"
"%d %s","%d %s"
"%d / %d","%d / %d"
"%d / %d  ·  %s","%d / %d  ·  %s"
"%d / %d  ▸  LV %d","%d / %d  ▸  LV %d"
"%d units","%d birim"
"%d%%","%%%d"
"%d/%d","%d/%d"
"%s","%s"
"%s   ·   Power %s","%s   ·   Güç %s"
"%s  %d/%d","%s  %d/%d"
"%s  +%d◈","%s  +%d◈"
"%s  ·  LOCKED","%s  ·  KİLİTLİ"
"%s  ×%.1f","%s  ×%.1f"
"%s  ×%s","%s  ×%s"
"%s %d","%s %d"
"%s (x%d)","%s (x%d)"
"%s / %s","%s / %s"
"%s / %s   (toward +%d %s)","%s / %s   (+%d %s hedefine)"
"%s Mastery  Lv %d  (+%d%% output)","%s Ustalığı Svy %d  (+%%%d çıktı)"
"%s [%s]","%s [%s]"
"%s x%d","%s x%d"
"%s · %s","%s · %s"
"%s[color=#%s]%s%s[/color]  [color=#%s]%s[/color]","%s[color=#%s]%s%s[/color]  [color=#%s]%s[/color]"
"%s
+","%s
+"
"'+1M Liras' lets you execute a natural warp (gain calc returns ~1 shard). 'Force Warp' bumps total_warps and grants 1 shard directly — NO world reset, so you keep gear/progress for rapid branch-reveal testing.","'+1M Lira' doğal bir warp gerçekleştirmenizi sağlar (kazanç hesaplaması ~1 parça döndürür). 'Zorla Warp' total_warps'ı artırır ve doğrudan 1 parça verir — Dünya SIFIRLANMAZ, bu nedenle hızlı dal-gösterme testleri için ekipman/ilerlemeyi korursunuz."
"+%d","+%d"
"+%d %s · READY","+%d %s · HAZIR"
"+%d %s%s","+%d %s%s"
"+%s","+%s"
"0.0s / %s","0.0s / %s"
"= +%s◈","= +%s◈"
"A hole torn in spacetime by the sector boss's collapse. Entering executes a Warp: +%d Exotic Shard%s%s. The run resets — research and ships included; Exotic Matter and your Warp Mastery persist.","Sektör patronunun çöküşüyle uzay-zamanda açılan bir delik. Girmek bir Warp gerçekleştirir: +%d Egzotik Parça%s%s. Tur sıfırlanır — araştırma ve gemiler dahil; Egzotik Madde ve Warp Ustalığın kalır."
"A multi-wave gauntlet — no single target to pick.","Çok dalgalı bir eldiven — seçilecek tek bir hedef yok."
"ABANDON","TERK ET"
"ACTIVE","AKTİF"
"ANCHOR BOLT — lock which affix?","ÇAPA CİVATASI — Hangi ek düzeltilsin?"
"ATK: %s | DEF: %s | EVA: %.0f | CRIT: %.0f%%","SDR: %s | SAV: %s | KÇN: %.0f | KRT: %%%.0f"
"AUX · ANY","YRD · HERHANGİ"
"AVAILABLE %d %s  ·  SPENT %d  ·  EARNED %d","MEVCUT %d %s  ·  HARCANAN %d  ·  KAZANILAN %d"
"Active","Aktif"
"Active palette","Aktif palet"
"Active slot — %s
Production — %s
Materials — %s
Damage — %s","Aktif yuva — %s
Üretim — %s
Materyaller — %s
Hasar — %s"
"All boards refresh in: %dh %dm","Tüm panoların yenilenmesine: %ds %dd"
"Amount","Miktar"
"Applies only to
weapon drops.","Sadece silah
düşmelerine uygulanır."
"Atk: %s","Sdr: %s"
"Auto-fit the active hull at the chosen Tier + Rarity. Bypasses research gates. Overwrites current loadout.","Aktif gövdeyi seçilen Aşama + Nadirlikte otomatik donat. Araştırma kapılarını atlar. Mevcut dizilimin üzerine yazar."
"BACK TO STAR MAP","YILDIZ HARİTASINA DÖN"
"BOSS","BÖLÜM SONU CANAVARI"
"BUILD  (consumes your surplus)","İNŞA ET  (fazlalığınızı tüketir)"
"BUILD x1","İNŞA ET x1"
"BUILD x10","İNŞA ET x10"
"BUILD x100","İNŞA ET x100"
"Balance Telemetry (debug)","Denge Telemetrisi (hata ayıklama)"
"Build name…","Dizilim adı…"
"Build slot %d — active (edits save here automatically).","Dizilim yuvası %d — aktif (düzenlemeler otomatik kaydedilir)."
"Build slot %d — empty. Switch here and build a fresh loadout.","Dizilim yuvası %d — boş. Buraya geçin ve yeni bir dizilim oluşturun."
"Build x%d","İnşa x%d"
"CLAIM","TALEP ET"
"CLAIM ALL (%d)","TÜMÜNÜ TALEP ET (%d)"
"CLAIM REWARD","ÖDÜLÜ TALEP ET"
"CLAIMED","TALEP EDİLDİ"
"CLEAR","TEMİZLE"
"COMPLETED","TAMAMLANDI"
"CONS: %.1f kW","TÜKETİM: %.1f kW"
"CONS: %.1f kW  (Grid Stalled: %d%%)","TÜKETİM: %.1f kW  (Şebeke Durdu: %%%d)"
"CONS: %.1f kW  [THROTTLED TO %d%% — BUILD MORE POWER]","TÜKETİM: %.1f kW  [%%%d'YE KISILDI — DAHA FAZLA GÜÇ İNŞA EDİN]"
"CONSUMABLES","SARF MALZEMELERİ"
"CRYO only (warp-hardened)","Sadece KRİYO (warp ile sertleştirilmiş)"
"Cancel","İptal"
"Cap Full","Kapasite Dolu"
"Cargo slots — sell or expand storage when full.","Kargo yuvaları — dolduğunda satın veya depolamayı genişletin."
"Category: %s","Kategori: %s"
"Claimed","Talep Edildi"
"Class Tier: %d","Sınıf Aşaması: %d"
"Click a cluster on the chart, then engage.","Haritadaki bir kümeye tıkla, sonra saldır."
"Click a sector on the chart to drill in.","İçine girmek için haritadaki bir sektöre tıkla."
"Click this sector to drop in and scan its hostiles.","Düşmanları taramak ve giriş yapmak için bu sektöre tıkla."
"Click to rename this build.","Bu dizilimi yeniden adlandırmak için tıkla."
"Close","Kapat"
"Color Palette","Renk Paleti"
"Completed: %d","Tamamlanan: %d"
"Completed: %d | Slots: %d/%d","Tamamlanan: %d | Yuva: %d/%d"
"Cooldown  %.1fs","Bekleme Süresi  %.1fs"
"Cooldown: %.1fs","Bekleme Süresi: %.1fs"
"Cost:","Maliyet:"
"DEMOLISH SELECTED (%d)","SEÇİLİLERİ YIK (%d)"
"DEMOLISH SELECTED (0)","SEÇİLİLERİ YIK (0)"
"DMG: %s [%s] | DEF: %s","HSR: %s [%s] | SAV: %s"
"DMG: 0 | DEF: 0","HSR: 0 | SAV: 0"
"DPS","SHS"
"DROP ONLY","SADECE DÜŞÜREREK"
"DURATION BONUS","SÜRE BONUSU"
"Demolish every non-equipped Common + Uncommon module.","Kuşanılmamış tüm Sıradan + Sıra Dışı modülleri yık."
"Demolish every non-equipped Common module.","Kuşanılmamış tüm Sıradan modülleri yık."
"ENEMIES","DÜŞMANLAR"
"ENTER GAUNTLET","ZORLU MÜCADELEYE GİR"
"ENTER THE SINGULARITY","TEKİLLİĞE GİR"
"EQUIP","KUŞAN"
"EXIT SELECTION","SEÇİMDEN ÇIK"
"Efficiency","Verimlilik"
"Empty Matrix Socket — a core here gives its %s-slot bonus
[Click a Matrix Core, then click here to socket it]","Boş Matris Yuvası — buradaki bir çekirdek %s yuva bonusunu verir
[Bir Matris Çekirdeğine, ardından yerleştirmek için buraya tıkla]"
"Energy: %d/%d","Enerji: %d/%d"
"Equip a %s consumable in Ship Designer.","Gemi Tasarımcısında bir %s sarf malzemesi kuşan."
"Eva: %.1f%%","Kaçınma: %%%.1f"
"Expand Storage (+1 Slot) - %s Liras","Depolamayı Genişlet (+1 Yuva) - %s Lira"
"FEED","BESLE"
"FEED THE CORE","ÇEKİRDEĞİ BESLE"
"FIRST WARP — WHAT YOU'LL UNLOCK","İLK WARP — KİLİDİNİ AÇACAKLARINIZ"
"FLEET COMMAND","FİLO KOMUTASI"
"Fleet Strength:  %s  ·  +%d%% ship damage in combat","Filo Gücü:  %s  ·  çatışmada +%%%d gemi hasarı"
"Fleet Strength:  %s  ·  build ships to add combat damage","Filo Gücü:  %s  ·  savaş hasarı eklemek için gemi inşa edin"
"Fleet:  %d / %d","Filo:  %d / %d"
"Forge your material surplus into a battle-fleet. Capacity grows with every Warp. Each ship adds +25% of your ship's damage in combat (up to +100%).","Fazla materyallerinizle bir savaş filosu dövün. Kapasite her Warp ile büyür. Her gemi, çatışmada geminizin hasarına +%25 ekler (en fazla +%100)."
"Free-unlock zone_N_access research. Cascades Z2 → chosen tier so prerequisite chains stay intact.","zone_N_access araştırmasını ücretsiz açar. Z2 → seçilen aşamaya kadar ardışık açarak önkoşul zincirlerini sağlam tutar."
"Fuse Cores","Çekirdekleri Kaynaştır"
"GEN: %.1f kW","ÜRETİM: %.1f kW"
"GOLD [u]MASTERY[/u]%s","ALTIN [u]USTALIĞI[/u]%s"
"GRAVITATIONAL ANOMALY","KÜTLEÇEKİMSEL ANOMALİ"
"GRID","ŞEBEKE"
"Got it","Anladım"
"Grant Boost Cards, set the exact Efficiency research tier (x2/x3/x4/x5/x10), or +10 every owned building for overclock-cap testing.","Güçlendirme Kartları ver, kesin Verimlilik araştırma aşamasını belirle (x2/x3/x4/x5/x10), veya hız aşırtma sınırı testi için sahip olunan her binaya +10 ekle."
"HACK CARDS:","HACK KARTLARI:"
"HANDSHAKE: [OK] | DECRYPTING PACKETS...","EL SIKIŞMA: [TAMAM] | PAKETLER DEŞİFRE EDİLİYOR..."
"HORIZON","HORIZON"
"HORIZON IDLE  ·  DEMO","HORIZON IDLE  ·  DEMO"
"HP: %d / %d","CAN: %d / %d"
"HP: %d | Shield: %d
ATK: %d | DEF: %d","CAN: %d | Kalkan: %d
SDR: %d | SAV: %d"
"HP: %d
Slots: %d","CAN: %d
Yuvalar: %d"
"HULL CRITICAL — tap to repair now!","GÖVDE KRİTİK — hemen onarmak için dokun!"
"HULL REPAIR","GÖVDE ONARIMI"
"HULL: %s/%s","GÖVDE: %s/%s"
"Hard reset wipes your save permanently — this cannot be undone.","Sert sıfırlama kaydınızı kalıcı olarak siler — bu geri alınamaz."
"Horizon Idle · demo build · changes save automatically","Horizon Idle · demo sürümü · değişiklikler otomatik kaydedilir"
"IDLE","BOŞTA"
"IN COMBAT","ÇATIŞMADA"
"INFRASTRUCTURE","ALTYAPI"
"INSTALL BOOST CARD","GÜÇLENDİRME KARTI KUR"
"INSUFFICIENT RESOURCES","YETERSİZ KAYNAK"
"INVALID ID","GEÇERSİZ KİMLİK"
"In Storage: %d","Depoda: %d"
"Intel:","İstihbarat:"
"KEEPS  Exotic Matter · Warp Tree · Mastery · Storage          RESETS  Research · Ships · Liras · Buildings · Resources · Skill levels (30% XP)","KORUNANLAR  Egzotik Madde · Warp Ağacı · Ustalık · Depo          SIFIRLANANLAR  Araştırma · Gemiler · Lira · Binalar · Kaynaklar · Yetenek seviyeleri (%30 TP)"
"L%d","S%d"
"LAST KILL  %s","SON LEŞ  %s"
"LEVEL %d REQUIRED","SEVİYE %d GEREKLİ"
"LOADOUTS","DİZİLİMLER"
"LOCKED","KİLİTLİ"
"LOCKED  ·  unlock prerequisites first","KİLİTLİ  ·  önce gereksinimleri aç"
"LOOT FILTER","GANİMET FİLTRESİ"
"LV 100  MAX","SVY 100  MAKS"
"Level: %d","Seviye: %d"
"Loadout %d — empty (build & name one in the Ship Designer).","Dizilim %d — boş (Gemi Tasarımcısında oluştur ve adlandır)."
"Loot ×%.2f (stack up to %d)","Ganimet ×%.2f (%d kademeye kadar birikir)"
"Loot ×1.00 (stack up to %d)","Ganimet ×1.00 (%d kademeye kadar birikir)"
"Lvl %d","Svy %d"
"MAGAZINES EMPTY","ŞARJÖRLER BOŞ"
"MAP MODS — juice the sector","HARİTA MODLARI — sektörü canlandır"
"MATERIALS","MATERYALLER"
"MATRIX CORE","MATRİS ÇEKİRDEĞİ"
"MATRIX CORE · %s SLOT","MATRİS ÇEKİRDEĞİ · %s YUVASI"
"MAX","MAKS"
"Manage","Yönet"
"Material","Materyal"
"Material Grant (debug)","Materyal Yardımı (hata ayıklama)"
"Matrix Core: %s
%s  (active in this %s slot)
[Click to remove]","Matris Çekirdeği: %s
%s  (bu %s yuvasında aktif)
[Kaldırmak için tıkla]"
"Maxed","Maksimum"
"Missing Materials","Eksik Materyaller"
"Missing: %s","Eksik: %s"
"Mission Control (debug)","Görev Kontrolü (hata ayıklama)"
"NET: %.1f kW  GRID COLLAPSING","NET: %.1f kW  ŞEBEKE ÇÖKÜYOR"
"NET: %.1f kW  POWER DEFICIT","NET: %.1f kW  GÜÇ AÇIĞI"
"NET: +%.1f kW","NET: +%.1f kW"
"NO HULL SELECTED","HİÇBİR GÖVDE SEÇİLMEDİ"
"NO SINGULARITY DETECTED THIS RUN","BU TURDA TEKİLLİK TESPİT EDİLMEDİ"
"NO TARGET","HEDEF YOK"
"Need %s","Gereken %s"
"No active contracts.
Accept contracts from the board.","Aktif sözleşme yok.
Panodan sözleşme kabul et."
"No contracts in this sector.
Wait for refresh...","Bu sektörde sözleşme yok.
Yenilenmesini bekle..."
"No data found for %s","%s için veri bulunamadı"
"No ships yet — build your first hull above.","Henüz gemi yok — ilk gövdeni yukarıda inşa et."
"None","Yok"
"Offline Welcome (debug)","Çevrimdışı Karşılama (hata ayıklama)"
"Only loot you keep is rolled — filtered drops are skipped entirely.","Sadece elinizde tuttuğunuz ganimetler zarda çekilir — filtrelenmiş düşmeler tamamen atlanır."
"Open Missions","Açık Görevler"
"Overclock / Efficiency (debug)","Hız Aşırtma / Verimlilik (hata ayıklama)"
"Owned: %d","Sahip Olunan: %d"
"Owned: %d / %d","Sahip Olunan: %d / %d"
"Page %d / %d","Sayfa %d / %d"
"Pick %s from the list to view full details.","Tüm detayları görmek için listeden %s seç."
"Pour surplus materials into the Core — accrues Resonance, redeemed as bonus shards at your next Warp. Your stockpiles are never touched unless you feed them.","Fazla materyalleri Çekirdeğe dökün — Rezonans biriktirir, sonraki Warp'ınızda bonus parçalar olarak kullanılır. Stoklarınıza siz beslemediğiniz sürece asla dokunulmaz."
"READY","HAZIR"
"REFIT BAY — remove & reroll which affix?","ONARIM BÖLMESİ — hangi ek kaldırılsın ve yeniden atılsın?"
"REFRESH ZONE (%s CR)","BÖLGEYİ YENİLE (%s KR)"
"RENAME BUILD","DİZİLİMİ YENİDEN ADLANDIR"
"REQUIRES WARP CORE ACTIVATION","WARP ÇEKİRDEĞİ AKTİVASYONU GEREKTİRİR"
"REROLL BOARD (%s Liras)","PANOYU YENİLE (%s Lira)"
"RESEARCH","ARAŞTIRMA"
"RESEARCH  ·  Lvl %d → %d","ARAŞTIRMA  ·  Svy %d → %d"
"RESEARCH REQUIRED","ARAŞTIRMA GEREKLİ"
"RESEARCHED","ARAŞTIRILDI"
"RESOLVING TEMPORAL DRIFT...","ZAMANSAL KAYMA ÇÖZÜLÜYOR..."
"RESOURCE","KAYNAK"
"ROSTER","KADRO"
"Refreshing...","Yenileniyor..."
"Rename","Yeniden Adlandır"
"Rename the active loadout preset:","Aktif dizilim ön ayarını yeniden adlandır:"
"Repair  %d%%","Onar  %%%d"
"Repair this module without entering global Repair Mode.","Global Onarım Moduna girmeden bu modülü onar."
"Repair tool — pick it up, then click a damaged module. Right-click / Esc to put it back.","Onarım aleti — eline al, sonra hasarlı bir modüle tıkla. Geri koymak için Sağ tık / Esc."
"Replays the offline welcome-back telemetry with a sample 15h report (multiple activities + a long material list, so the scrollable cargo ledger is exercised).","Çevrimdışı karşılama telemetrisini 15 saatlik bir örnek raporla tekrar oynatır (kaydırılabilir kargo defterinin çalışması için birden fazla etkinlik + uzun bir materyal listesi)."
"Req: %s","Gerekli: %s"
"Req: %s (Warp Tree)","Gerekli: %s (Warp Ağacı)"
"Requires Lv %d","Svy %d Gerektirir"
"Research Required","Araştırma Gerekli"
"Restores %d%% %s","%%%d %s yeniler"
"Reveal / force-complete a mission by id, sweep all active, or reset the chain. Arc starters: goal_hack_1, goal_cryo_1, goal_001.","Kimliğine göre bir görevi aç / zorla tamamla, tüm aktifleri sil veya zinciri sıfırla. Arc başlatıcılar: goal_hack_1, goal_cryo_1, goal_001."
"Reveal bulk actions (select / demolish / scrap).","Toplu eylemleri göster (seç / yık / hurdaya ayır)."
"SCRAP COMMONS","SIRADANLARI HURDAYA AYIR"
"SCRAP JUNK","ÇÖPÜ HURDAYA AYIR"
"SECTOR %02d · %s","SEKTÖR %02d · %s"
"SECTOR LOCKED","SEKTÖR KİLİTLİ"
"SELECT A SECTOR","BİR SEKTÖR SEÇ"
"SELECT A TARGET","BİR HEDEF SEÇ"
"SELECT MODULES","MODÜLLERİ SEÇ"
"SELL  ·  %s","SAT  ·  %s"
"SESSION  %s","OTURUM  %s"
"SHD: %s/%s","KLK: %s/%s"
"SHIP HULL","GEMİ GÖVDESİ"
"SHIP MODULE (%s)","GEMİ MODÜLÜ (%s)"
"SINGULARITY","TEKİLLİK"
"SYNCING WITH SECTOR NETWORK...","SEKTÖR AĞI İLE EŞİTLENİYOR..."
"Save, gameplay and interface options.","Kayıt, oynanış ve arayüz seçenekleri."
"Scrap","Hurda"
"Search    tier:3   set:monolith   slot:weapon","Ara    aşama:3   set:monolit   yuva:silah"
"Search by output  (e.g. Steel)…","Çıktıya göre ara (örn. Çelik)…"
"Search...","Ara..."
"Sector difficulty %d","Sektör zorluğu %d"
"Select a hostile cluster or the boss on the map.","Haritada düşman bir küme veya bölüm sonu canavarı seçin."
"Sell entire stack","Tüm yığını sat"
"Set a skill to any level, max both skills, or unlock every research node. For testing level/research-gated actions, recipes, and content.","Bir yeteneği herhangi bir seviyeye ayarla, iki yeteneği de maksimize et veya tüm araştırma düğümlerini aç. Seviye/araştırma kısıtlamalı eylemleri, tarifleri ve içeriği test etmek için."
"Shield: %s","Kalkan: %s"
"Ship Fitter (debug)","Gemi Donatıcısı (hata ayıklama)"
"Skill + Research (debug)","Yetenek + Araştırma (hata ayıklama)"
